year	IPO Recon	13yrSpline	resids	Mean	Year	MacDonald PDO	13yrMcDonald	Mean	Vance IPO	Vance Mean	+0.5	-0.5	0
1351.0	0.67500	0.73000	-0.77200	0.47000	1351	-0.23418		0.12000	0.51200	0.11000	0.97000	-0.030000	0.0000
1352.0	0.34100	0.92600	-0.94300	0.47000	1352	-0.31579	-0.070000	0.12000	0.56000	0.11000	0.97000	-0.030000	0.0000
1353.0	0.68500	1.1350	-1.1500	0.47000	1353	0.01107	-0.065000	0.12000	0.59800	0.11000	0.97000	-0.030000	0.0000
1354.0	2.7610	1.3100	-1.3640	0.47000	1354	-0.00128	-0.057000	0.12000	0.62400	0.11000	0.97000	-0.030000	0.0000
1355.0	1.2310	1.3910	-1.3010	0.47000	1355	-0.06991	-0.052000	0.12000	0.64000	0.11000	0.97000	-0.030000	0.0000
1356.0	2.3470	1.3680	-1.2820	0.47000	1356	0.27163	-0.053000	0.12000	0.64700	0.11000	0.97000	-0.030000	0.0000
1357.0	2.2290	1.2470	-1.2580	0.47000	1357	0.03835	-0.061000	0.12000	0.64900	0.11000	0.97000	-0.030000	0.0000
1358.0	0.90000	1.0760	-0.79900	0.47000	1358	-0.62298	-0.066000	0.12000	0.64900	0.11000	0.97000	-0.030000	0.0000
1359.0	-0.77000	0.94800	-0.85100	0.47000	1359	0.21570	-0.053000	0.12000	0.65000	0.11000	0.97000	-0.030000	0.0000
1360.0	-0.74400	0.94100	-1.0720	0.47000	1360	0.10680	-0.028000	0.12000	0.65600	0.11000	0.97000	-0.030000	0.0000
1361.0	0.43100	1.0540	-1.3020	0.47000	1361	-0.10914	0.013000	0.12000	0.66500	0.11000	0.97000	-0.030000	0.0000
1362.0	2.8500	1.2040	-1.4650	0.47000	1362	-0.22706	0.077000	0.12000	0.67800	0.11000	0.97000	-0.030000	0.0000
1363.0	2.3780	1.2850	-1.3970	0.47000	1363	0.49876	0.16600	0.12000	0.69200	0.11000	0.97000	-0.030000	0.0000
1364.0	2.5020	1.2550	-1.0540	0.47000	1364	0.14652	0.27500	0.12000	0.70300	0.11000	0.97000	-0.030000	0.0000
1365.0	0.0030000	1.1370	-1.2700	0.47000	1365	0.21587	0.40400	0.12000	0.70500	0.11000	0.97000	-0.030000	0.0000
1366.0	0.18900	1.0000	-0.78900	0.47000	1366	0.44097	0.55100	0.12000	0.69600	0.11000	0.97000	-0.030000	0.0000
1367.0	0.48000	0.87600	1.4110	0.47000	1367	0.34306	0.70600	0.12000	0.67000	0.11000	0.97000	-0.030000	0.0000
1368.0	3.7810	0.75300	0.0040000	0.47000	1368	1.21089	0.84700	0.12000	0.62800	0.11000	0.97000	-0.030000	0.0000
1369.0	-1.7860	0.62400	1.2490	0.47000	1369	1.36036	0.94500	0.12000	0.56800	0.11000	0.97000	-0.030000	0.0000
1370.0	0.87900	0.56900	1.1860	0.47000	1370	1.18888	0.98100	0.12000	0.49200	0.11000	0.97000	-0.030000	0.0000
1371.0	-1.4600	0.60900	-0.18300	0.47000	1371	0.38121	0.96000	0.12000	0.40700	0.11000	0.97000	-0.030000	0.0000
1372.0	1.4460	0.73500	-1.9790	0.47000	1372	1.07359	0.89000	0.12000	0.31600	0.11000	0.97000	-0.030000	0.0000
1373.0	1.0110	0.87300	-2.0910	0.47000	1373	1.23196	0.76200	0.12000	0.23100	0.11000	0.97000	-0.030000	0.0000
1374.0	3.8840	0.95700	-1.0000	0.47000	1374	0.77554	0.57400	0.12000	0.15800	0.11000	0.97000	-0.030000	0.0000
1375.0	0.42900	0.96000	1.4160	0.47000	1375	0.48572	0.34400	0.12000	0.10800	0.11000	0.97000	-0.030000	0.0000
1376.0	-1.2300	0.95700	0.94700	0.47000	1376	-0.00532	0.10300	0.12000	0.087000	0.11000	0.97000	-0.030000	0.0000
1377.0	-0.027000	1.0100	1.0180	0.47000	1377	-0.53092	-0.11200	0.12000	0.098000	0.11000	0.97000	-0.030000	0.0000
1378.0	2.7370	1.0880	-1.5590	0.47000	1378	-0.00868	-0.27200	0.12000	0.14000	0.11000	0.97000	-0.030000	0.0000
1379.0	0.98600	1.1180	-1.4030	0.47000	1379	-1.44705	-0.35900	0.12000	0.20900	0.11000	0.97000	-0.030000	0.0000
1380.0	0.86400	1.0740	-1.0680	0.47000	1380	-0.92384	-0.36200	0.12000	0.29700	0.11000	0.97000	-0.030000	0.0000
1381.0	2.7880	0.94000	2.3660	0.47000	1381	0.23245	-0.30900	0.12000	0.39500	0.11000	0.97000	-0.030000	0.0000
1382.0	1.0920	0.70900	-2.9690	0.47000	1382	0.14688	-0.25800	0.12000	0.49200	0.11000	0.97000	-0.030000	0.0000
1383.0	-1.6470	0.44100	-0.036000	0.47000	1383	0.64391	-0.24400	0.12000	0.58000	0.11000	0.97000	-0.030000	0.0000
1384.0	0.48600	0.20700	-2.1410	0.47000	1384	-0.35537	-0.27700	0.12000	0.65300	0.11000	0.97000	-0.030000	0.0000
1385.0	1.0790	0.011000	0.96100	0.47000	1385	-0.78672	-0.33200	0.12000	0.70700	0.11000	0.97000	-0.030000	0.0000
1386.0	-0.14300	-0.14500	0.68200	0.47000	1386	-0.42915	-0.38000	0.12000	0.74200	0.11000	0.97000	-0.030000	0.0000
1387.0	-1.7090	-0.21600	3.6260	0.47000	1387	-0.44963	-0.41400	0.12000	0.75800	0.11000	0.97000	-0.030000	0.0000
1388.0	-0.69800	-0.16000	0.11500	0.47000	1388	-0.28687	-0.43000	0.12000	0.75600	0.11000	0.97000	-0.030000	0.0000
1389.0	0.66700	0.0030000	-1.7070	0.47000	1389	-0.65257	-0.42500	0.12000	0.74000	0.11000	0.97000	-0.030000	0.0000
1390.0	-1.0510	0.22900	-0.73000	0.47000	1390	-0.51335	-0.39400	0.12000	0.71300	0.11000	0.97000	-0.030000	0.0000
1391.0	0.94300	0.47900	1.7840	0.47000	1391	-0.69485	-0.34000	0.12000	0.67800	0.11000	0.97000	-0.030000	0.0000
1392.0	0.56400	0.67900	-0.16700	0.47000	1392	-0.25380	-0.27500	0.12000	0.63900	0.11000	0.97000	-0.030000	0.0000
