Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1870,0.235241503,-0.129537386,-0.201257124,-0.300844771,-1.162201895,-0.492209608,-0.469815686,-0.085085621,-0.453146601,-0.206825294,-0.147598431,-0.095976405
1871,0.089441503,0.018362614,0.216492876,0.113195229,0.142358105,-0.106839608,-0.844145686,-1.030675621,-0.782546601,-0.934725294,-0.427648431,-0.644956405
1872,-0.403568497,-0.382897386,0.192172876,0.349895229,0.505428105,0.081780392,-0.165125686,0.011144379,0.160363399,0.235044706,0.549531569,0.886863595
1873,0.747301503,0.606622614,0.187872876,0.573045229,0.614258105,0.723260392,0.464354314,0.309194379,-0.031526601,0.043674706,0.266931569,-0.168576405
1874,-0.016018497,-0.179587386,-0.140557124,-0.212584771,-0.500121895,-0.110109608,-0.087925686,-0.280985621,-0.456286601,-0.396025294,-0.507448431,-0.307836405
1875,-0.169698497,-0.096067386,-0.070727124,-0.201444771,0.050328105,0.335330392,-0.196455686,-0.000635621,-0.133056601,-0.338865294,-0.263318431,-0.142826405
1876,0.035351503,-0.159527386,-0.134017124,-0.084334771,0.034618105,-0.380609608,-0.173485686,-0.219425621,-0.091506601,0.053524706,-0.093448431,-0.305976405
1877,-0.136638497,-0.109187386,0.115302876,-0.292574771,-0.509251895,-0.238299608,-0.137055686,-0.109685621,-0.303126601,-0.643955294,-0.923478431,-1.129296405
1878,-1.421558497,-1.515467386,-1.262257124,-1.035694771,-0.946921895,-0.711019608,-0.906875686,-0.697045621,-0.457426601,-0.360345294,-0.559448431,-0.466976405
1879,-0.392828497,-0.619587386,-0.475847124,-0.505734771,0.217868105,0.331890392,0.040164314,-0.313805621,-0.443666601,-0.345055294,-0.281748431,-0.720536405
1880,-0.144288497,0.464992614,0.497312876,0.466815229,-0.038021895,-0.351809608,-0.360205686,-0.131605621,-0.169716601,-0.020685294,-0.034708431,-0.033386405
1881,-0.131708497,0.014582614,0.133072876,-0.106774771,-0.235121895,-0.327879608,-0.581585686,-0.500845621,-0.143596601,-0.213215294,-0.079228431,-0.087446405
1882,-0.343568497,-0.475317386,-0.701057124,-0.530434771,-0.225071895,-0.151549608,-0.188545686,-0.314215621,-0.285636601,-0.169355294,0.272691569,-0.044406405
1883,-0.124458497,0.213652614,0.126872876,0.143985229,-0.504761895,-0.283239608,-0.423545686,-0.380115621,-0.276466601,-0.523155294,-0.205908431,-0.636556405
1884,-0.902448497,-1.083107386,-1.009167124,-0.871124771,-0.925571895,-0.327439608,-0.503255686,-0.461015621,-0.491606601,-0.808025294,-0.526888431,-0.641396405
1885,-0.669338497,-0.728007386,-0.361757124,-0.567384771,-0.741291895,-0.852579608,-0.731435686,-0.572955621,-0.723436601,-1.086025294,-1.191468431,-1.242346405
1886,-0.779998497,0.305352614,-0.226877124,-0.344334771,-0.430981895,-0.268549608,-1.370495686,-0.358925621,-0.146186601,-0.265235294,-0.127538431,-0.120216405
1887,2.016421503,0.434222614,0.613352876,0.683555229,0.609878105,0.332300392,0.265544314,0.515824379,0.611663399,-0.133445294,-0.287868431,-0.503526405
1888,-0.915418497,-1.152037386,-1.285987124,-1.251004771,-1.021361895,-0.785659608,-0.888415686,-0.328055621,-0.830216601,-0.725445294,-1.179298431,-1.961456405
1889,-0.584378497,-1.201387386,-1.329117124,-1.132994771,-0.640891895,-0.916029608,-0.971605686,-0.788575621,-0.618966601,-0.544285294,-0.176938431,-0.501776405
1890,-0.651948497,-0.407837386,-0.195737124,-0.208064771,0.217138105,0.355760392,0.041824314,0.226544379,-0.409876601,-0.327085294,-0.202028431,-0.132586405
1891,-0.210448497,-0.344247386,-0.697897124,-0.874864771,-0.829271895,-0.418219608,-0.824605686,-0.580125621,-0.130636601,0.238244706,0.540731569,0.626513595
1892,0.648701503,0.255972614,0.242732876,0.080215229,0.090138105,-0.340909608,-0.601935686,-0.624455621,0.158743399,0.582604706,0.950661569,0.544813595
1893,0.149521503,-0.417187386,0.141392876,0.349565229,0.840288105,1.613190392,2.189294314,1.446804379,1.287683399,0.657424706,0.754211569,0.691613595
1894,0.471201503,0.291442614,-0.160737124,-0.083384771,-0.115061895,0.084710392,0.187534314,-0.044015621,-0.095136601,0.128474706,0.072621569,0.606853595
1895,0.669701503,0.658962614,0.150142876,-0.198614771,0.079038105,-9.96078E-05,-0.209845686,-0.862855621,-0.348626601,-0.101575294,-0.272958431,-0.504526405
1896,-0.337788497,-0.161857386,-0.074277124,-0.262554771,-0.489881895,-0.428979608,-0.312555686,-0.463395621,-0.247026601,-0.152345294,-1.172598431,-0.136666405
1897,-0.178318497,-0.014627386,-0.387747124,-0.523514771,-0.549821895,-0.301989608,-0.405275686,-0.722525621,-0.766946601,-0.808945294,-0.658968431,-0.615726405
1898,-1.040908497,-1.486227386,-1.825077124,-0.970224771,-0.800621895,-0.442419608,-0.776995686,-0.802935621,-0.756046601,-1.033355294,-0.688568431,-0.236616405
1899,-0.567258497,-0.478387386,-0.337747124,-0.080194771,0.041618105,0.121960392,-0.084285686,-0.172265621,-0.313086601,-0.512495294,-0.004998431,-0.426846405
1900,-0.993318497,-0.916927386,-1.493087124,-0.834634771,-0.746811895,-0.458989608,-0.422115686,-0.463095621,-0.733436601,-0.924895294,-0.833428431,-0.733406405
1901,-0.517698497,-1.619137386,-1.416167124,-1.257314771,-1.127481895,-1.129599608,-1.573075686,-1.507225621,-0.757376601,-0.768155294,-1.188388431,-1.120986405
1902,-0.844828497,-0.864327386,-0.663537124,-0.692734771,-0.577501895,-1.444559608,-0.898295686,-0.875275621,-0.662436601,-1.378695294,-1.882258431,-1.259686405
1903,-1.380628497,-0.596017386,-1.187747124,-0.846314771,-0.360681895,-1.071259608,-0.970535686,-0.947565621,-1.132336601,-0.170885294,-0.271758431,0.036063595
1904,0.288711503,0.078672614,-0.312227124,-0.217774771,-0.618401895,-1.419049608,-0.884055686,-0.698795621,-0.376136601,-0.367965294,-1.301188431,-0.970986405
1905,-1.766188497,-0.778287386,-0.321307124,-0.630184771,-0.609681895,-1.062929608,-0.992615686,-0.558635621,-0.789626601,-0.553095294,-0.669598431,-0.742486405
1906,-1.451458497,-2.054317386,-1.971557124,-1.893164771,-1.566811895,-1.290689608,-1.019535686,-1.074905621,-0.941016601,-0.248575294,-0.491388431,-0.510736405
1907,-0.432488497,-0.067017386,-0.197987124,-0.722054771,-0.337261895,-0.434889608,-0.320955686,-0.366485621,-0.680406601,-0.650645294,-0.537248431,-0.107796405
1908,-0.384778497,-0.695457386,-0.198477124,-0.431264771,-0.289921895,0.178440392,-0.332195686,-0.121115621,0.217643399,-0.008335294,-0.191758431,-0.299106405
1909,-1.685268497,-0.381037386,-0.436847124,-0.002684771,-0.173671895,-0.003799608,-0.220305686,-0.064485621,-0.219186601,0.476504706,0.205611569,0.424253595
1910,-0.488578497,0.155822614,0.191702876,-0.367294771,-0.074721895,-0.319649608,-0.396745686,-0.457155621,-0.105596601,-0.211945294,0.058361569,0.079133595
1911,-0.035218497,-0.913477386,-0.489997124,-0.135984771,0.400448105,0.238520392,0.096794314,0.552984379,0.046803399,0.054804706,-0.672278431,-1.167486405
1912,-0.875828497,-1.565767386,-1.093087124,-1.088354771,-1.239711895,-0.756359608,-0.298015686,-0.819475621,-0.730266601,-0.612605294,-0.801208431,-1.073386405
1913,-0.082608497,-1.069467386,-1.034147124,-0.555464771,-1.387711895,-1.270119608,-0.915055686,-0.702885621,-0.103196601,0.068424706,-0.618328431,-1.152146405
1914,-0.755848497,-0.041007386,-0.668677124,-0.287534771,-0.630831895,-0.742459608,-0.422065686,-0.680415621,-1.275126601,-0.766855294,-0.851568431,-1.358076405
1915,-1.576308497,-1.421677386,-1.103277124,-0.921094771,-0.779281895,-0.546569608,-0.290565686,0.373134379,0.452733399,0.248854706,0.098481569,-0.030326405
1916,0.052091503,0.368452614,0.109852876,0.450265229,0.032798105,0.613560392,0.713824314,0.571664379,0.523153399,0.249834706,0.380341569,0.268933595
1917,0.582591503,0.315222614,0.434382876,0.690945229,0.564568105,0.853960392,0.447264314,0.635914379,0.420873399,0.283044706,0.004221569,-0.251386405
1918,-0.498158497,0.064802614,0.739342876,0.803575229,0.422058105,-0.183319608,-0.202835686,-0.495305621,-0.446966601,-0.300295294,-0.142008431,-0.932986405
1919,-0.967508497,-0.834927386,-0.700727124,-0.587154771,-0.976861895,-0.864239608,-0.638165686,-0.374495621,-0.194266601,-0.272255294,-0.412888431,-1.009256405
1920,-1.025368497,-1.135957386,-0.777867124,-0.868294771,-0.528151895,0.172730392,0.124954314,-0.097365621,0.006203399,-0.005505294,-0.140218431,-0.384526405
1921,-0.109088497,-0.185617386,-0.036707124,-1.221354771,-0.772981895,-0.412449608,-0.825305686,0.104324379,0.200133399,0.137554706,0.401131569,-0.021866405
1922,-0.145188497,-0.256897386,-0.283307124,-0.261274771,-0.513381895,-0.211549608,0.097804314,-0.045335621,-0.085086601,0.106344706,-0.123618431,0.409913595
1923,-0.277138497,-0.699567386,-0.520387124,-0.901894771,-0.011241895,-0.140259608,0.081314314,-0.209605621,-0.319256601,-0.430785294,0.276621569,0.924753595
1924,1.139231503,0.012172614,0.861422876,0.358035229,-0.137781895,0.324980392,0.206124314,0.234014379,-0.103376601,-0.142775294,0.297071569,0.291123595
1925,-0.191528497,-1.055877386,-0.110867124,-0.726244771,-0.506211895,-0.296139608,-0.202965686,-0.669425621,-0.432896601,-0.250555294,-0.416928431,-0.610076405
1926,-0.551588497,-1.484747386,-1.296337124,-0.451914771,-0.275671895,-0.319299608,-0.244235686,0.061314379,-0.133626601,0.188014706,-0.482498431,-0.963386405
