Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1870,18.19904,18.4411,17.92483,16.7503,14.69896,14.14017,13.27862,13.25799,12.84827,13.50896,14.63982,16.26224
1871,18.05324,18.589,18.34258,17.16434,16.00352,14.52554,12.90429,12.3124,12.51887,12.78106,14.35977,15.71326
1872,17.56023,18.18774,18.31826,17.40104,16.36659,14.71416,13.58331,13.35422,13.46178,13.95083,15.33695,17.24508
1873,18.7111,19.17726,18.31396,17.62419,16.47542,15.35564,14.21279,13.65227,13.26989,13.75946,15.05435,16.18964
1874,17.94778,18.39105,17.98553,16.83856,15.36104,14.52227,13.66051,13.06209,12.84513,13.31976,14.27997,16.05038
1875,17.7941,18.47457,18.05536,16.8497,15.91149,14.96771,13.55198,13.34244,13.16836,13.37692,14.5241,16.21539
1876,17.99915,18.41111,17.99207,16.96681,15.89578,14.25177,13.57495,13.12365,13.20991,13.76931,14.69397,16.05224
1877,17.82716,18.46145,18.24139,16.75857,15.35191,14.39408,13.61138,13.23339,12.99829,13.07183,13.86394,15.22892
1878,16.54224,17.05517,16.86383,16.01545,14.91424,13.92136,12.84156,12.64603,12.84399,13.35544,14.22797,15.89124
1879,17.57097,17.95105,17.65024,16.54541,16.07903,14.96427,13.7886,13.02927,12.85775,13.37073,14.50567,15.63768
1880,17.81951,19.03563,18.6234,17.51796,15.82314,14.28057,13.38823,13.21147,13.1317,13.6951,14.75271,16.32483
1881,17.83209,18.58522,18.25916,16.94437,15.62604,14.3045,13.16685,12.84223,13.15782,13.50257,14.70819,16.27077
1882,17.62023,18.09532,17.42503,16.52071,15.63609,14.48083,13.55989,13.02886,13.01578,13.54643,15.06011,16.31381
1883,17.83934,18.78429,18.25296,17.19513,15.3564,14.34914,13.32489,12.96296,13.02495,13.19263,14.58151,15.72166
1884,17.06135,17.48753,17.11692,16.18002,14.93559,14.30494,13.24518,12.88206,12.80981,12.90776,14.26053,15.71682
1885,17.29446,17.84263,17.76433,16.48376,15.11987,13.7798,13.017,12.77012,12.57798,12.62976,13.59595,15.11587
1886,17.1838,18.87599,17.89921,16.70681,15.43018,14.36383,12.37794,12.98415,13.15523,13.45055,14.65988,16.238
1887,19.98022,19.00486,18.73944,17.7347,16.47104,14.96468,14.01398,13.8589,13.91308,13.58234,14.49955,15.85469
1888,17.04838,17.4186,16.8401,15.80014,14.8398,13.84672,12.86002,13.01502,12.4712,12.99034,13.60812,14.39676
1889,17.37942,17.36925,16.79697,15.91815,15.22027,13.71635,12.77683,12.5545,12.68245,13.1715,14.61048,15.85644
1890,17.31185,18.1628,17.93035,16.84308,16.0783,14.98814,13.79026,13.56962,12.89154,13.3887,14.58539,16.22563
1891,17.75335,18.22639,17.42819,16.17628,15.03189,14.21416,12.92383,12.76295,13.17078,13.95403,15.32815,16.98473
1892,18.6125,18.82661,18.36882,17.13136,15.9513,14.29147,13.1465,12.71862,13.46016,14.29839,15.73808,16.90303
1893,18.11332,18.15345,18.26748,17.40071,16.70145,16.24557,15.93773,14.78988,14.5891,14.37321,15.54163,17.04983
1894,18.435,18.86208,17.96535,16.96776,15.7461,14.71709,13.93597,13.29906,13.20628,13.84426,14.86004,16.96507
1895,18.6335,19.2296,18.27623,16.85253,15.9402,14.63228,13.53859,12.48022,12.95279,13.61421,14.51446,15.85369
1896,17.62601,18.40878,18.05181,16.78859,15.37128,14.2034,13.43588,12.87968,13.05439,13.56344,13.61482,16.22155
1897,17.78548,18.55601,17.73834,16.52763,15.31134,14.33039,13.34316,12.62055,12.53447,12.90684,14.12845,15.74249
1898,16.92289,17.08441,16.30101,16.08092,15.06054,14.18996,12.97144,12.54014,12.54537,12.68243,14.09885,16.1216
1899,17.39654,18.09225,17.78834,16.97095,15.90278,14.75434,13.66415,13.17081,12.98833,13.20329,14.78242,15.93137
1900,16.97048,17.65371,16.633,16.21651,15.11435,14.17339,13.32632,12.87998,12.56798,12.79089,13.95399,15.62481
1901,17.4461,16.9515,16.70992,15.79383,14.73368,13.50278,12.17536,11.83585,12.54404,12.94763,13.59903,15.23723
1902,17.11897,17.70631,17.46255,16.35841,15.28366,13.18782,12.85014,12.4678,12.63898,12.33709,12.90516,15.09853
1903,16.58317,17.97462,16.93834,16.20483,15.50048,13.56112,12.7779,12.39551,12.16908,13.5449,14.51566,16.39428
1904,18.25251,18.64931,17.81386,16.83337,15.24276,13.21333,12.86438,12.64428,12.92528,13.34782,13.48623,15.38723
1905,16.19761,17.79235,17.80478,16.42096,15.25148,13.56945,12.75582,12.78444,12.51179,13.16269,14.11782,15.61573
1906,16.51234,16.51632,16.15453,15.15798,14.29435,13.34169,12.7289,12.26817,12.3604,13.46721,14.29603,15.84748
1907,17.53131,18.50362,17.9281,16.32909,15.5239,14.19749,13.42748,12.97659,12.62101,13.06514,14.25017,16.25042
1908,17.57902,17.87518,17.92761,16.61988,15.57124,14.81082,13.41624,13.22196,13.51906,13.70745,14.59566,16.05911
1909,16.27853,18.1896,17.68924,17.04846,15.68749,14.62858,13.52813,13.27859,13.08223,14.19229,14.99303,16.78247
1910,17.47522,18.72646,18.31779,16.68385,15.78644,14.31273,13.35169,12.88592,13.19582,13.50384,14.84578,16.43735
1911,17.92858,17.65716,17.63609,16.91516,16.26161,14.8709,13.84523,13.89606,13.34822,13.77059,14.11514,15.19073
1912,17.08797,17.00487,17.033,15.96279,14.62145,13.87602,13.45042,12.5236,12.57115,13.10318,13.98621,15.28483
1913,17.88119,17.50117,17.09194,16.49568,14.47345,13.36226,12.83338,12.64019,13.19822,13.78421,14.16909,15.20607
1914,17.20795,18.52963,17.45741,16.76361,15.23033,13.88992,13.32637,12.66266,12.02629,12.94893,13.93585,15.00014
1915,16.38749,17.14896,17.02281,16.13005,15.08188,14.08581,13.45787,13.71621,13.75415,13.96464,14.8859,16.32789
1916,18.01589,18.93909,18.23594,17.50141,15.89396,15.24594,14.46226,13.91474,13.82457,13.96562,15.16776,16.62715
1917,18.54639,18.88586,18.56047,17.74209,16.42573,15.48634,14.1957,13.97899,13.72229,13.99883,14.79164,16.10683
1918,17.46564,18.63544,18.86543,17.85472,16.28322,14.44906,13.5456,12.84777,12.85445,13.41549,14.64541,15.42523
1919,16.99629,17.73571,17.42536,16.46399,14.8843,13.76814,13.11027,12.96858,13.10715,13.44353,14.37453,15.34896
1920,16.93843,17.43468,17.34822,16.18285,15.33301,14.80511,13.87339,13.24571,13.30762,13.71028,14.6472,15.97369
1921,17.85471,18.38502,18.08938,15.82979,15.08818,14.21993,12.92313,13.4474,13.50155,13.85334,15.18855,16.33635
1922,17.81861,18.31374,17.84278,16.78987,15.34778,14.42083,13.84624,13.29774,13.21633,13.82213,14.6638,16.76813
1923,17.68666,17.87107,17.6057,16.14925,15.84992,14.49212,13.82975,13.13347,12.98216,13.285,15.06404,17.28297
1924,19.10303,18.58281,18.98751,17.40918,15.72338,14.95736,13.95456,13.57709,13.19804,13.57301,15.08449,16.64934
1925,17.77227,17.51476,18.01522,16.3249,15.35495,14.33624,13.54547,12.67365,12.86852,13.46523,14.37049,15.74814
1926,17.41221,17.08589,16.82975,16.59923,15.58549,14.31308,13.5042,13.40439,13.16779,13.9038,14.30492,15.39483
1927,17.32738,19.21668,17.89836,16.22579,15.32234,14.10252,13.9225,12.98836,12.82283,13.62767,14.32221,15.69098
1928,17.47373,18.71291,18.27659,17.7147,15.82262,14.31576,13.69533,13.19795,12.91789,13.32447,14.71609,15.72855
1929,17.64815,18.10823,17.28832,16.31614,15.71172,14.53001,13.42024,13.28559,13.10827,13.65198,14.71639,15.96269
1930,16.75959,17.35269,17.14627,16.35881,15.61657,14.22848,13.30525,12.94795,12.74956,12.94652,13.21777,14.95064
1931,17.12002,16.91122,16.9054,15.72733,14.80853,14.06786,13.33707,13.0086,12.66671,13.10183,14.67431,15.69814
1932,16.63483,17.46575,17.58641,16.76248,15.06589,13.96481,13.00644,12.59812,13.37379,13.9102,14.85329,16.15518
1933,18.15282,18.68707,18.0744,16.88028,15.22724,14.20581,13.38175,13.01138,12.81629,13.8162,14.67561,16.48169
1934,16.89306,18.05374,16.99741,16.87005,15.71666,14.28505,13.82505,13.13808,12.90556,13.88473,15.25428,17.55577
1935,19.33301,20.3905,18.69727,17.95061,15.59545,14.52008,13.71933,13.2978,13.28863,13.64167,13.65932,16.99236
1936,18.33611,18.48718,17.23578,16.41052,15.29706,14.74593,13.36578,13.37519,13.18066,13.75692,14.6954,15.33315
1937,17.01005,17.78895,17.25628,16.20964,15.87142,14.18088,13.16661,13.34877,13.37523,13.63739,14.59781,16.72491
1938,18.85434,19.44507,18.54351,17.96108,16.52281,15.26865,14.50566,13.9253,13.56763,14.54747,15.34413,16.69277
1939,17.96701,18.97122,18.66579,17.21338,16.25622,14.8848,13.49005,13.11352,13.10776,13.91738,14.63825,16.64652
1940,18.57473,18.66271,17.77869,16.62914,15.6879,14.79436,14.52342,13.079,13.15471,13.21701,14.33943,15.9051
1941,17.89005,18.41398,17.64229,16.57881,15.73295,14.86874,13.84483,13.24886,12.84787,13.1215,14.57584,16.44677
1942,17.7633,18.19523,17.72142,16.70844,15.9118,14.65535,13.9201,13.01391,13.47851,14.00288,14.9183,16.58761
1943,18.16308,18.54827,18.01714,17.0568,15.98762,14.57583,13.69437,13.32332,13.2303,13.51947,15.18965,17.1544
1944,18.23074,19.17272,18.22936,16.83531,15.89969,14.54512,13.74826,14.15221,14.26524,13.44297,14.83384,16.4033
1945,17.47945,18.51544,18.38353,17.0732,15.7,14.57318,13.86834,13.12679,13.29542,13.89928,15.23113,16.47719
1946,18.42721,19.23587,17.98158,16.89934,15.81051,14.35115,14.0703,13.41168,13.22219,14.27343,14.63531,15.40381
1947,17.00117,18.00603,17.52331,17.17435,15.6707,14.36155,13.36312,13.98481,13.34069,13.61442,15.22203,16.86738
1948,18.56829,18.99416,18.76012,17.43037,15.95706,14.5043,13.87147,13.56521,13.28346,13.69159,14.28962,16.43033
1949,17.28476,18.02539,18.01805,16.78913,15.76326,14.78632,14.26933,13.63357,13.72822,14.23965,15.01714,16.42289
1950,18.54204,18.62749,18.09027,17.12708,16.67136,15.38829,14.75208,13.80248,13.91722,14.48486,15.37162,16.67126
1951,18.89881,18.25231,18.59329,17.22868,15.72093,14.85402,14.06391,14.03833,13.66716,13.80728,14.61866,15.55099
1952,16.71805,18.20683,17.92232,16.74793,15.72999,14.2782,13.42469,13.30547,13.0315,13.55123,14.89345,16.3813
1953,18.36878,18.94808,17.71641,16.14771,15.71796,14.42657,13.81244,13.40471,13.65251,14.19221,15.22545,16.70558
1954,18.27822,18.77772,18.56625,17.41917,16.47992,15.02794,13.72475,13.52549,13.6196,13.41393,16.00487,17.06497
1955,18.31686,19.68054,19.05427,18.30331,16.59613,15.1103,14.21393,13.99605,13.88302,13.8921,15.67384,17.18851
1956,19.50524,19.08843,18.26643,18.02133,16.95426,15.28994,14.54896,14.22456,13.78944,14.05289,15.38327,16.81789
1957,18.0563,19.24558,18.93212,17.19765,16.25885,14.74446,13.20187,13.10979,13.62955,13.72573,14.67375,15.83688
1958,17.35942,18.46588,18.24823,16.601,15.15319,14.30649,13.12267,13.15425,13.19915,13.7871,15.05112,17.49995
1959,19.03292,19.24241,18.24892,17.32621,15.26475,14.41645,13.73729,13.56326,13.74939,13.94228,15.17112,17.14727
1960,18.45757,19.34872,18.52388,16.95775,16.16278,15.02512,13.77159,13.4126,13.50038,14.58404,15.70736,16.53913
1961,18.40309,18.55278,17.81461,17.02398,15.89099,14.76643,14.06485,13.89575,13.71063,14.86932,15.96504,18.15827
1962,19.91551,19.83651,19.312,18.14752,17.08436,15.68736,14.5917,13.79008,14.00974,14.6701,15.28996,17.18895
1963,18.79672,19.22853,18.40892,17.25265,15.93392,14.43864,13.75097,13.57086,13.2748,13.70687,14.74975,15.94044
1964,16.45057,18.19376,17.28109,16.37479,15.75937,14.41718,13.8242,13.30442,12.91555,13.4164,14.21579,16.3607
1965,18.84174,17.71845,17.27748,16.54179,14.88368,13.9743,13.18634,12.75474,13.16448,13.21665,13.89819,16.22459
1966,16.99352,18.91896,19.0352,17.40238,15.87264,14.45796,13.75499,12.95769,13.21937,13.93328,14.88365,16.40085
1967,17.65652,18.10102,17.47781,17.0004,15.64758,14.56893,13.96698,14.28863,13.88653,14.39075,14.34186,15.47023
1968,17.26485,18.01314,19.08693,17.58889,16.30409,14.74333,13.72748,13.39995,13.28627,13.23255,13.77429,15.61892
1969,17.26893,17.4945,17.3517,15.92215,14.91706,14.2003,13.37274,13.37366,13.49046,13.70837,16.07527,17.82303
1970,19.16705,19.97041,19.38665,17.94484,16.541,14.94354,14.10315,13.60463,13.83309,13.98642,16.27426,17.46416
1971,19.43452,21.05509,19.81317,18.10996,17.33829,15.97826,14.78108,14.49641,13.80539,14.02241,15.31356,17.18702
1972,18.41084,18.50595,18.74972,17.52826,16.14351,14.58246,14.0625,13.54464,13.65282,14.13888,15.39765,16.02251
1973,17.93213,18.56857,19.10887,17.48317,16.02233,15.01108,14.13338,13.7342,13.45116,13.83684,14.93408,17.10509
1974,18.25213,19.80855,18.66344,18.3696,16.86259,16.00587,14.62697,14.19266,13.94477,14.53818,15.32694,17.80611
1975,20.87976,20.13005,19.30846,18.20176,17.07166,15.45217,14.18915,13.85264,13.79804,13.59603,14.76593,16.30211
1976,17.65592,17.43549,18.4153,17.28265,15.66041,14.55329,13.8951,13.14108,13.01763,13.6469,14.05897,15.53341
1977,17.55556,18.51453,18.30736,17.6201,15.02325,13.95363,13.07833,12.7557,12.84604,13.58091,14.81899,15.5025
1978,17.8417,19.7566,19.09759,18.16335,16.4826,15.48994,13.81302,13.56642,13.84595,13.69998,14.59489,16.76339
1979,17.8239,18.08637,18.58456,17.40972,16.09717,14.99129,14.31071,13.69958,13.46978,13.73346,15.65714,16.52898
1980,17.89425,18.37868,17.5439,16.43298,15.89247,14.48395,13.587,12.8258,12.93237,13.71712,14.47628,15.80628
1981,18.17419,19.13772,19.25319,17.9753,16.95827,15.18484,14.13347,13.652,13.06198,13.6551,14.491,16.75707
1982,18.2124,18.79318,18.46725,17.31688,16.10817,14.95723,14.12954,13.24842,13.41629,13.38024,14.79914,15.35718
1983,16.39225,16.98899,16.63906,16.13576,15.08272,14.23371,13.27529,13.22317,13.36601,13.74432,14.6754,16.20045
1984,16.88488,18.61856,18.93604,17.65718,16.13907,14.70382,14.12266,13.64059,13.14126,14.037,15.72144,17.36966
1985,18.89037,19.47838,18.63303,17.6597,16.52206,15.31423,14.45815,14.22737,14.27674,14.19863,15.58312,17.18118
1986,19.91897,19.77689,19.427,17.89342,16.42346,15.18835,14.00332,13.52929,13.58984,14.23691,14.94764,16.55163
1987,18.84296,19.13546,17.97146,16.76201,15.72016,14.67582,13.79299,13.64343,13.51132,13.57882,15.14377,16.52852
1988,17.70428,19.38043,18.25907,16.64024,15.37309,14.72331,13.68139,13.34678,13.33522,13.70907,15.14429,17.31062
