Year (CE),Vance22,Porter21,Linsley08,Godkin21,Buckley19
1,-0.155214952,,,,
2,-0.042036016,,,,
3,0.115051361,,,,
4,0.230311892,,,,
5,0.306985209,,,,
6,0.318090109,,,,
7,0.22828487,,,,
8,0.034330381,,,,
9,-0.177966786,,,,
10,-0.396405267,,,,
11,-0.589040326,,,,
12,-0.754718163,,,,
13,-0.841875021,,,,
14,-0.878913822,,,,
15,-0.829012543,,,,
16,-0.759450097,,,,
17,-0.64447375,,,,
18,-0.558012445,,,,
19,-0.461950291,,,,
20,-0.322901745,,,,
21,-0.199792139,,,,
22,-0.091802444,,,,
23,-0.001089718,,,,
24,0.134617034,,,,
25,0.323669341,,,,
26,0.47319062,,,,
27,0.652656744,,,,
28,0.849304484,,,,
29,1.016793374,,,,
30,1.125502604,,,,
31,1.376869552,,,,
32,1.248455452,,,,
33,1.17214255,,,,
34,1.154809491,,,,
35,1.18202819,,,,
36,1.232031652,,,,
37,0.835201539,,,,
38,1.131558945,,,,
39,1.465668785,,,,
40,1.462894676,,,,
41,1.454738815,,,,
42,1.399670971,,,,
43,1.281676508,,,,
44,1.162558112,,,,
45,1.034055819,,,,
46,0.44387974,,,,
47,0.362313257,,,,
48,0.287288327,,,,
49,0.234922426,,,,
50,0.255727819,,,,
51,0.269340189,,,,
52,0.270587063,,,,
53,0.347377906,,,,
54,0.472405201,,,,
55,0.620099809,,,,
56,0.794133902,,,,
57,0.967617594,,,,
58,1.140195775,,,,
59,1.273703573,,,,
60,1.313238784,,,,
61,1.310277877,,,,
62,1.170869829,,,,
63,0.959802204,,,,
64,0.729073379,,,,
65,0.684755074,,,,
66,0.609948351,,,,
67,0.537969964,,,,
68,0.473903354,,,,
69,0.4363595,,,,
70,0.41551506,,,,
71,0.443579347,,,,
72,0.421804039,,,,
73,0.444819094,,,,
74,1.005176594,,,,
75,1.426216465,,,,
76,0.844133085,,,,
77,0.339342403,,,,
78,-0.069221901,,,,
79,-0.249792418,,,,
80,-0.238144721,,,,
81,-0.091354814,,,,
82,0.225224983,,,,
83,0.732412698,,,,
84,1.351859857,,,,
85,1.787457759,,,,
86,0.799220966,,,,
87,0.577592239,,,,
88,0.40495581,,,,
89,0.269090512,,,,
90,0.119264473,,,,
91,0.014166101,,,,
92,-0.049192909,,,,
93,-0.068560895,,,,
94,-0.057304924,,,,
95,-0.03961615,,,,
96,-0.01085536,,,,
97,0.061655878,,,,
98,0.112533817,,,,
99,0.191976682,,,,
100,0.243572535,,,,
101,0.301213289,,,,
102,0.297515817,,,,
103,0.296344035,,,,
104,0.200077806,,,,
105,0.136183133,,,,
106,0.032854702,,,,
107,-0.082781201,,,,
108,0.377337084,,,,
109,0.345123846,,,,
110,0.33014614,,,,
111,0.31224077,,,,
112,0.30768631,,,,
113,0.325332637,,,,
114,0.316940418,,,,
115,0.511394686,,,,
116,1.050787865,,,,
117,1.435267256,,,,
118,1.104798306,,,,
119,0.823513048,,,,
120,0.601853429,,,,
121,0.446385825,,,,
122,0.361301365,,,,
123,0.297796006,,,,
124,0.273876279,,,,
125,0.239562883,,,,
126,-0.235869279,,,,
127,-0.226507181,,,,
128,-0.200358528,,,,
129,-0.210171955,,,,
130,-0.2378061,,,,
131,-0.281552316,,,,
132,-0.281536619,,,,
133,-0.279610098,,,,
134,-0.227215124,,,,
135,-0.153567541,,,,
136,0.045500463,,,,
137,0.381532727,,,,
138,0.820170923,,,,
139,1.356258293,,,,
140,1.930956936,,,,
141,2.282707776,,,,
142,1.749681052,,,,
143,1.387861981,,,,
144,1.346751291,,,,
145,1.236047194,,,,
146,1.09862319,,,,
147,0.923359151,,,,
148,0.79864704,,,,
149,0.636833193,,,,
150,0.526934335,,,,
151,0.404900764,,,,
152,0.381512438,,,,
153,0.554233853,,,,
154,0.679906347,,,,
155,1.20128022,,,,
156,1.236196856,,,,
157,1.174668519,,,,
158,1.038084626,,,,
159,0.837830027,,,,
160,0.594426936,,,,
161,0.311147394,,,,
162,0.298237195,,,,
163,0.326290873,,,,
164,0.338264487,,,,
165,0.371836202,,,,
166,0.424687855,,,,
167,0.041853797,,,,
168,0.131159861,,,,
169,0.278426745,,,,
170,0.371968755,,,,
171,0.376809424,,,,
172,0.319995694,,,,
173,0.243406441,,,,
174,0.077566164,,,,
175,0.420935382,,,,
176,0.366820627,,,,
177,0.341489617,,,,
178,0.30436421,,,,
179,0.32039614,,,,
180,0.32809996,,,,
181,0.352305869,,,,
182,0.385329946,,,,
183,-0.036067063,,,,
184,0.044693139,,,,
185,0.136733469,,,,
186,0.205161096,,,,
187,0.247374908,,,,
188,0.234504101,,,,
189,0.226487148,,,,
190,0.209405135,,,,
191,0.133834378,,,,
192,0.084305387,,,,
193,-0.001118534,,,,
194,-0.040942477,,,,
195,-0.00483231,,,,
196,0.054819245,,,,
197,0.129709412,,,,
198,0.30229292,,,,
199,0.565862518,,,,
200,0.810413969,,,,
201,0.998401253,,,,
202,1.023144496,,,,
203,0.965347202,,,,
204,0.739378414,,,,
205,0.500785378,,,,
206,0.250685096,,,,
207,0.004761523,,,,
208,0.024065379,,,,
209,0.109873916,,,,
210,0.263046822,,,,
211,0.42782138,,,,
212,0.607645301,,,,
213,0.757051084,,,,
214,0.805674944,,,,
215,0.791148003,,,,
216,0.691608354,,,,
217,0.544387198,,,,
218,0.394666422,,,,
219,0.231857174,,,,
220,0.062757445,,,,
221,-0.020219213,,,,
222,0.17571102,,,,
223,0.366224806,,,,
224,0.348301393,,,,
225,0.347850399,,,,
226,0.337160611,,,,
227,0.335601923,,,,
228,0.339486664,,,,
229,0.315993894,,,,
230,0.289396615,,,,
231,0.280572011,,,,
232,0.462149413,,,,
233,0.948711098,,,,
234,1.293474806,,,,
235,0.97979221,,,,
236,0.714654083,,,,
237,0.536874623,,,,
238,0.45047892,,,,
239,0.416064554,,,,
240,0.448265972,,,,
241,0.588052899,,,,
242,0.787421122,,,,
243,1.020931667,,,,
244,1.328207537,,,,
245,1.284820772,,,,
246,1.188766178,,,,
247,1.050241096,,,,
248,0.927438411,,,,
249,0.851975922,,,,
250,0.76372148,,,,
251,0.681548203,,,,
252,0.59867732,,,,
253,0.610139309,,,,
254,0.61453158,,,,
255,0.637644375,,,,
256,0.640606851,,,,
257,0.662581273,,,,
258,0.624340368,,,,
259,0.611966599,,,,
260,0.575655289,,,,
261,0.501386731,,,,
262,0.468512781,,,,
263,0.47250372,,,,
264,0.473360146,,,,
265,0.510248821,,,,
266,0.555032836,,,,
267,0.562515876,,,,
268,0.554381355,,,,
269,0.5621823,,,,
270,0.480787588,,,,
271,0.867576271,,,,
272,1.470979472,,,,
273,0.914728114,,,,
274,0.387123882,,,,
275,-0.087613047,,,,
276,-0.436418117,,,,
277,-0.616532774,,,,
278,-0.764621763,,,,
279,-0.903488788,,,,
280,-0.50327707,,,,
281,-0.5538493,,,,
282,-0.573717898,,,,
283,-0.561460536,,,,
284,-0.534006622,,,,
285,-0.454806236,,,,
286,-0.377751354,,,,
287,-0.134831069,,,,
288,0.084062795,,,,
289,0.33813673,,,,
290,0.553953851,,,,
291,0.70036561,,,,
292,0.841503718,,,,
293,0.89795434,,,,
294,0.908133497,,,,
295,0.846597858,,,,
296,0.780739616,,,,
297,0.659634133,,,,
298,0.513613841,,,,
299,0.349574012,,,,
300,0.268555852,,,,
301,0.252873443,,,,
302,0.303136126,,,,
303,0.430535716,,,,
304,0.633232359,,,,
305,0.863875219,,,,
306,1.145113604,,,,
307,1.22875049,,,,
308,0.899982377,,,,
309,0.525514242,,,,
310,0.223694834,,,,
311,0.169699898,,,,
312,0.120020788,,,,
313,0.129497307,,,,
314,0.126222781,,,,
315,0.159866457,,,,
316,0.497397477,,,,
317,0.958773713,,,,
318,1.419206419,,,,
319,1.15031677,,,,
320,0.881594626,,,,
321,0.264027593,,,,
322,0.201687628,,,,
323,0.211741491,,,,
324,0.287083371,,,,
325,0.460789551,,,,
326,0.663210123,,,,
327,0.876080877,,,,
328,1.129269797,,,,
329,1.347178673,,,,
330,1.577238456,,,,
331,1.832525097,,,,
332,2.077601012,,,,
333,1.776062084,,,,
334,1.478566185,,,,
335,1.202097943,,,,
336,0.947809649,,,,
337,0.80846237,,,,
338,0.624442951,,,,
339,0.386030868,,,,
340,0.151344959,,,,
341,0.407774062,,,,
342,0.341051414,,,,
343,0.270854298,,,,
344,0.274382255,,,,
345,0.250912756,,,,
346,0.262063761,,,,
347,0.286706616,,,,
348,0.318929532,,,,
349,0.330693192,,,,
350,0.350879083,,,,
351,0.35485184,,,,
352,0.346540843,,,,
353,0.340149032,,,,
354,0.289134592,,,,
355,0.262141295,,,,
356,0.250559785,,,,
357,0.22434728,,,,
358,0.237969295,,,,
359,0.287909386,,,,
360,0.336219552,,,,
361,0.395701289,,,,
362,0.069628552,,,,
363,0.962613869,,,,
364,1.266439113,,,,
365,0.848089616,,,,
366,0.443512928,,,,
367,0.054897759,,,,
368,-0.310729116,,,,
369,-0.506276678,,,,
370,-0.674412432,,,,
371,-0.289148774,,,,
372,-0.272344963,,,,
373,-0.175907805,,,,
374,0.025010985,,,,
375,0.255589906,,,,
376,0.491608154,,,,
377,0.742929296,,,,
378,0.463791596,,,,
379,0.744637784,,,,
380,1.002803174,,,,
381,1.199844727,,,,
