Year,c30a5c_2,c43a1f_2,c49b5c_1
0,118.6970935,60.20797289,
1,54.74486277,31.01612484,
2,47.04253395,23,
3,24.08318916,25.01999201,
4,26.17250466,16,
5,42.19004622,21,
6,42.10700654,24,
7,44.28317965,32.01562119,
8,34.525353,30.01666204,
9,27.16615541,28.01785145,
10,30.2654919,19.02629759,
11,16.2788206,14,
12,15.13274595,11.04536102,
13,27.07397274,16.03121954,
14,25.07987241,15.03329638,
15,21,12.04159458,
16,16.03121954,13.03840481,
17,16.1245155,14.03566885,
18,8,12.04159458,92.19544457
19,13.03840481,18.02775638,97.57561171
20,NA,18.02775638,66.18912297
21,NA,17.02938637,49.04079934
22,NA,14,35.73513677
23,NA,16,40.52159918
24,NA,15,40.16217126
25,NA,8.062257748,26.2488095
26,NA,10.04987562,31.32091953
27,NA,9,29.83286778
28,NA,12.04159458,34.13209633
,,,32.38826948
