,c10a2b_1,c10a2b_2,c10a2b_3,c10a2b_4,c10a2b_5,c20a3b_1,c20a3b_2,c20a3b_3,c28a4c_1,c28a4c_2,c30a5c_1,c30a5c_2,c32a4c_1,c32a4c_2,c32a4c_3,c41a5a_1,c41a5a_2,c43a1f_1,c43a1f_2,c43a1f_3,c43a1f_4,c49b5c_1,c49b5c_2,c8a1c_1,c8a1c_2,c9a3b_1,c9a3b_2,c9b1c_1,c9b1c_2,c9b1c
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.02298547,92.04890005,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.21511831,61.00819617,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.23098745,53.08483776,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.15806971,78.40918314,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.24154028,36.22154055,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.47640459,25.07987241,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.20797289,30.41381265,30.2654919,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.984845,31.01612484,22.36067977,22.09072203,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,107.3778376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1896201,23,25.49509757,25.07987241,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,139.8070098,120.5985075,103.406963,106.8877916,114.2716063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.68332813,25.01999201,17.2626765,17.2626765,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,65.19202405,59.53990259,51.7880295,51.41984053,55.78530272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.76305461,16,24.73863375,24.18677324,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,28,23.53720459,24.35159132,23.76972865,24.04163056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.63201124,21,24.33105012,24.33105012,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,24,20.39607805,20.24845673,20.88061302,20.61552813,NA,NA,NA,NA,NA,84.14867795,NA,NA,NA,NA,NA,NA,23.40939982,24,33.95585369,32.24903099,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,24.0208243,24.04163056,21.1896201,21.84032967,22.84731932,NA,NA,NA,NA,NA,45.04442252,NA,NA,NA,NA,NA,NA,34.20526275,32.01562119,35.11409973,32.38826948,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,20.02498439,20.61552813,19.31320792,18.38477631,18.38477631,NA,NA,NA,NA,NA,40.04996879,NA,NA,NA,NA,NA,NA,32.57299495,30.01666204,27.20294102,31.57530681,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,22.02271555,20.24845673,18.38477631,18.97366596,20.1246118,NA,NA,NA,NA,NA,45.54119015,118.6970935,NA,NA,NA,NA,NA,27.20294102,28.01785145,17.72004515,17.2626765,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,21.02379604,22.13594362,19.6977156,22.84731932,21.1896201,NA,NA,NA,NA,NA,23.34523506,54.74486277,NA,NA,NA,NA,NA,20.24845673,19.02629759,14.86606875,13.34166406,NA,NA,NA,NA,NA,NA,129.2594291,127.7380131,128.4987211
18,23.34523506,21.47091055,22.84731932,20.61552813,22.36067977,NA,NA,NA,NA,NA,30.41381265,47.04253395,NA,NA,NA,NA,NA,14.76482306,14,10.19803903,11.04536102,NA,NA,NA,NA,NA,NA,87.32124598,89.49860334,88.40992466
