"","ring","c10a2b_1","c20a3b_1","c20a3b_2","c32a4c_1","c32a4c_2","c50a5b_1","c9a2b_1","c9b1c_1","c9b1c_2"
"1",1,119,220.056810846654,233.173754955398,136.367151469846,132.003787824441,273.232501727009,138.812823615111,115.801554393713,115.801554393713
"2",2,121.593585357123,189.391129676128,188.862383761299,112,109.073369802166,113.600176056202,101.636607578175,84.154619599877,84.154619599877
"3",3,60.1664358259653,117.324336776306,119.854077944808,85.0235261559999,81.8840643837371,103.077640640442,166.904164118215,81.8596359630313,81.8596359630313
"4",4,25,61.4654374425172,60.1664358259653,86.0232526704263,83.198557679806,90,157.784663386528,73.4302390027433,73.4302390027433
"5",5,20.8806130178211,50.1198563445667,52.2015325445527,58.0086200490927,46.690470119715,66.1211010192662,106.404887105809,57.6281181368956,57.6281181368956
"6",6,22.8035085019828,42.9418211071678,42.7200187265877,39.1152144312159,42.0594816896262,40.0124980474851,78.644770964127,39.6988664825584,39.6988664825584
"7",7,21.1896201004171,38.5875627631495,40.853396431631,37.8549864614954,27.8567765543682,30.0665927567458,30.6104557300279,41.4004830889689,41.4004830889689
"8",8,19.9248588451713,32.2024843762092,34.0147027033899,22.561028345357,17.464249196573,25.0199920063936,27.5862284482674,21.4009345590327,21.4009345590327
"9",9,22.1359436211787,30.5286750449475,26.5706605111728,23.5372045918796,23.259406699226,NA,28.4253408071038,18.3847763108502,18.3847763108502
"10",10,18.9736659610103,28.6356421265527,22.8035085019828,25.9615099714943,23.7065391822594,NA,30.4138126514911,14.2126704035519,14.2126704035519
"11",11,5.3851648071345,22.8254244210267,28.1602556806574,25.298221281347,20.1246117974981,NA,35.4682957019364,21.4009345590327,21.4009345590327
"12",12,14.8660687473185,18.3575597506858,19.9248588451713,28.4604989415154,24.1867732448956,NA,29.0688837074973,28.4253408071038,12.7279220613579
"13",13,18.0277563773199,24.6981780704569,25.298221281347,28.1602556806574,20.591260281974,NA,29.0688837074973,17.0293863659264,15.8113883008419
"14",14,14.7648230602334,22.8254244210267,24.5153013442625,27.2029410174709,25.9422435421457,NA,41.2310562561766,18.6010752377383,17.0293863659264
"15",15,14.7648230602334,36.2353418639869,28.6356421265527,NA,NA,NA,20.8086520466848,9.89949493661167,18.6010752377383
"16",16,12.0830459735946,NA,NA,NA,NA,NA,24.0831891575846,12.0415945787923,9.89949493661167
"17",17,11.1803398874989,NA,NA,NA,NA,NA,35,9.89949493661167,12.0415945787923
"18",18,11.6619037896906,NA,NA,NA,NA,NA,NA,9.21954445729289,9.89949493661167
"19",19,13.4164078649987,NA,NA,NA,NA,NA,NA,10,9.21954445729289
"20",20,14.3178210632764,NA,NA,NA,NA,NA,NA,NA,10
"21",21,13.0384048104053,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,14.7648230602334,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,11.1803398874989,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,9.4339811320566,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,10.295630140987,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,8.54400374531753,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,8.06225774829855,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,6.70820393249937,NA,NA,NA,NA,NA,NA,NA,NA
