,c20a3b_1,c20a3b_2,c9a2b_1,c9a2b_2,c50a5b_1,c50a5b_2
1996,,,,75.02666193,,
1997,,,138.8128236,146.812806,,
1998,,,101.6366076,103.7304198,,
1999,,,166.9041641,149.7230777,,
2000,220.0568108,233.173755,157.7846634,154.304893,,
2001,189.3911297,188.8623838,106.4048871,110.3449138,,
2002,117.3243368,119.8540779,78.64477096,70.83784299,,
2003,61.46543744,60.16643583,30.61045573,27.65863337,,
2004,50.11985634,52.20153254,27.58622845,29.73213749,,
2005,42.94182111,42.72001873,28.42534081,26.90724809,,
2006,38.58756276,40.85339643,30.41381265,35.38361203,,
2007,32.20248438,34.0147027,35.4682957,33.24154028,273.2325017,280.8131051
2008,30.52867504,26.57066051,29.06888371,30.47950131,113.6001761,112.7874106
2009,28.63564213,22.8035085,29.06888371,31.82766093,103.0776406,103.247276
2010,22.82542442,28.16025568,41.23105626,38.94868419,90,88.95504483
2011,18.35755975,19.92485885,20.80865205,21.40093456,66.12110102,68.8839604
2012,24.69817807,25.29822128,24.08318916,26.40075756,40.01249805,38.32753579
2013,22.82542442,24.51530134,35,36.05551275,30.06659276,32.24903099
2014,36.23534186,28.63564213,,39.35733731,25.01999201,22.20360331
