Year,TD029a,TD029b,TN001a,TN001b,TN002a,TN002b,TN003a,TN003b,TN004a,TN004b,TN005a,TN005b,TN006a,TN006b,TN007a,TN007b,TN008a,TN008b,TN009a,TN009b,TN011a,TN011b,TN012a,TN012b,TN013a,TN013b,TN015a,TN015b,TN021a,TN021b,TN030a,TN030b,TN032a,TN032b
1985,33.212,38.708,20,25.72,66,72.62,53.34,53,40.96,41.44,21,27,37.05,41.58,76,76,31,25,41,41,28,28,11,16,28,27,42,37,44,58,83,82,24,24
1986,28.574,33.053,20,24,37.81,37.38,55.09,57,38,38.56,25,25.62,46,42,81,84,30,27,28,27,26,26,13,12,23,23,26,29,42,63,62,62,28,27
1987,30.614,32.912,27,34,79.94,80,59,59,39,36,32,30.38,41,44,96,94,46,48,22,26,32,32,21,18,24,24,36,33,43,74,79,79,33,34
1988,45.641,49.035,29,41,51.61,53,43,43.62,56,56,47,44.89,65,67,99,102,67,62,40,35,28,26,24,20,34,32,48,44,54,91,59,62,29,30
1989,45.275,47.339,48,50,59.65,60,71,69.38,55,54,44,43.11,54.96,53,105,102,59,57,39,40,40,42,23,32,32,31,26,40,63,60,87,82,35,36
1990,59.925,57.484,76,62.27,75.52,71.63,74,74,67,67,86,87,60.04,72,135,142,73,73.01,55,53,45.19,45.19,29,36,42,39,42,36,70,99,128,117,59,61
1991,51.122,49.036,31,35.4,74.48,84.37,60.98,62.18,48,49,56,53.56,61.77,52.46,91,98,58,54.99,56,57,28.81,28.81,25,23,33,35,37.27,36,81,82,63,71,25,23
1992,47.893,56.825,34,34.69,81,82,52.02,51.82,48,48.9,73,71.44,72.23,69.54,96,108,46,46,67,69,30,30,27,29,36,34,36.73,41,54,97,81,82,54,47
1993,44.684,49.135,35,37.05,72,60,48.89,49.25,42,40.1,66,64,47.82,53,86,90,36,32,48,46,27,27,30,29,30,30,38,43,35,77,70,71,26,29
1994,17.893,17.907,18,16.59,46,57.77,37.11,36.23,26.34,24,32,33,26.18,37,71,68,21,22,24,24,16,16,14,18,19,21,28,26,21,30,45,39,13,11
1995,36.342,43.434,38,32,72,66.23,56,54.52,31.66,34.74,56,55,52,53,88.18,100,44,42,56,58,22,22,27,30,26,23,40,39,56,62,66,71,23,25
1996,38.149,37.941,30,27,49,48,42,46,45,45.26,46,42,42,52,83.18,100,43,52,38,45,32,32,26,28,28,27,30,32,47,67,61,56,35,33
1997,44.454,36.675,55,54,135.28,145,47,46,41,37,74,77,57,75,93.64,105,56,59,90,80,24,24,43,47.25,30,25,36,34,63,86,50,51,45,42
1998,59.715,58.984,,70,92.72,104,77,79.21,66.13,62,88,86,97,97,137,158,84,80,125,127,50,50,59,53.75,43,47,62,67,70,143,126,120,,
1999,28.604,42.84,,27,84.69,79.62,51,53.79,37.87,39,,54,66,68,89,105,36,33,70,69,23,23,22,22,32,30,38,41,55,87,47,52,,
2000,26.333,32.574,,27,43.31,39.38,42.65,43,32,34.43,,48,42,50.24,84,79,15,21,56,65,20,20,22,21.55,,26,42,40,36,46,38,36,,
2001,17.378,21.367,,,59,68,45.35,42,27,22.57,,,39,36.87,73,75,,23,66,56,20,20,,,,,38,38,,,29,31,,
2002,12.433,11.391,,,81,88,,,17,15.82,,,34,33.88,78,,,,,,,,,,,,26,31,,,,,,
2003,31.22,25.569,,,,,,,15,19.18,,,32,35,,,,,,,,,,,,,,,,,,,,
