Year	C20A3B-1	C20A3B-2	C32A4C-1	C32A4C-2
1996				132.00
1997				109.07
1998			136.37	81.88
1999			112.00	83.20
2000	220.06	233.17	85.02	46.69
2001	189.39	188.86	86.02	42.06
2002	117.32	119.85	58.01	27.86
2003	61.47	60.17	39.12	17.46
2004	50.12	52.20	37.85	23.26
2005	42.94	42.72	22.56	23.71
2006	38.59	40.85	23.54	20.12
2007	32.20	34.01	25.96	24.19
2008	30.53	26.57	25.30	20.59
2009	28.64	22.80	28.46	25.94
2010	22.83	28.16	28.16	
2011	18.36	19.92	27.20	
2012	24.70	25.30		
2013	22.83	24.52		
2014	36.24	28.64		
